"","year","month","anom","dec.yr"
"01/01/80",1980,1,-0.409526615608029,1980.04166666667
"02/01/80",1980,2,-0.300328988046827,1980.125
"03/01/80",1980,3,-0.289787404259369,1980.20833333333
"04/01/80",1980,4,-0.096258055549973,1980.29166666667
"05/01/80",1980,5,-0.447641113586219,1980.375
"06/01/80",1980,6,-0.929611792732383,1980.45833333333
"07/01/80",1980,7,-1.11155552334256,1980.54166666667
"08/01/80",1980,8,-1.34544237131672,1980.625
"09/01/80",1980,9,-1.39927679025707,1980.70833333333
"10/01/80",1980,10,-0.362388511337239,1980.79166666667
"11/01/80",1980,11,-0.142393853929308,1980.875
"12/01/80",1980,12,-0.303072956519398,1980.95833333333
"01/01/81",1981,1,-0.468974460431231,1981.04166666667
"02/01/81",1981,2,-0.492683985045932,1981.125
"03/01/81",1981,3,0.237101443091705,1981.20833333333
"04/01/81",1981,4,0.867026807816048,1981.29166666667
"05/01/81",1981,5,1.02274963009325,1981.375
"06/01/81",1981,6,1.27053382273935,1981.45833333333
"07/01/81",1981,7,0.482182820638021,1981.54166666667
"08/01/81",1981,8,0.0925517379429927,1981.625
"09/01/81",1981,9,0.548895143234956,1981.70833333333
"10/01/81",1981,10,0.133094357281196,1981.79166666667
"11/01/81",1981,11,0.069858921898736,1981.875
"12/01/81",1981,12,0.189406579749048,1981.95833333333
"01/01/82",1982,1,-0.151577952108409,1982.04166666667
"02/01/82",1982,2,-0.11330590467789,1982.125
"03/01/82",1982,3,-0.157741102099742,1982.20833333333
"04/01/82",1982,4,-0.958960875586119,1982.29166666667
"05/01/82",1982,5,-1.15650929926534,1982.375
"06/01/82",1982,6,-1.61244758357847,1982.45833333333
"07/01/82",1982,7,-2.35233137342665,1982.54166666667
"08/01/82",1982,8,-1.21483550808294,1982.625
"09/01/82",1982,9,-0.978118635451567,1982.70833333333
"10/01/82",1982,10,-1.05367523415625,1982.79166666667
"11/01/82",1982,11,-0.838592688242594,1982.875
"12/01/82",1982,12,-0.0637233793573975,1982.95833333333
"01/01/83",1983,1,-0.16151677496065,1983.04166666667
"02/01/83",1983,2,0.137304791267002,1983.125
"03/01/83",1983,3,0.608352019534848,1983.20833333333
"04/01/83",1983,4,0.715324403793831,1983.29166666667
"05/01/83",1983,5,0.410627571224843,1983.375
"06/01/83",1983,6,0.837399319904607,1983.45833333333
"07/01/83",1983,7,0.794941054450141,1983.54166666667
"08/01/83",1983,8,0.415349937066799,1983.625
"09/01/83",1983,9,0.115535997116792,1983.70833333333
"10/01/83",1983,10,-0.299901226994791,1983.79166666667
"11/01/83",1983,11,-0.119034979078505,1983.875
"12/01/83",1983,12,0.698298956966659,1983.95833333333
"01/01/84",1984,1,0.670458155272776,1984.04166666667
"02/01/84",1984,2,0.479917349208015,1984.125
"03/01/84",1984,3,0.496075836300527,1984.20833333333
"04/01/84",1984,4,0.589572034231046,1984.29166666667
"05/01/84",1984,5,0.495024145457157,1984.375
"06/01/84",1984,6,1.1643879639747,1984.45833333333
"07/01/84",1984,7,0.586949878268772,1984.54166666667
"08/01/84",1984,8,0.948024090712632,1984.625
"09/01/84",1984,9,0.409840526942638,1984.70833333333
"10/01/84",1984,10,0.401677549046876,1984.79166666667
"11/01/84",1984,11,0.532236682044135,1984.875
"12/01/84",1984,12,0.728033886369328,1984.95833333333
"01/01/85",1985,1,0.6783863677565,1985.04166666667
"02/01/85",1985,2,0.547025741923469,1985.125
"03/01/85",1985,3,0.214936568485043,1985.20833333333
"04/01/85",1985,4,-0.290165025044263,1985.29166666667
"05/01/85",1985,5,-0.94234671114583,1985.375
"06/01/85",1985,6,-1.85466178645933,1985.45833333333
"07/01/85",1985,7,-1.28726387023926,1985.54166666667
"08/01/85",1985,8,-1.12453526597682,1985.625
"09/01/85",1985,9,-0.448062211840456,1985.70833333333
"10/01/85",1985,10,-0.63117653115332,1985.79166666667
"11/01/85",1985,11,-1.15833001666599,1985.875
"12/01/85",1985,12,-0.318368620988799,1985.95833333333
"01/01/86",1986,1,0.0241230832852,1986.04166666667
"02/01/86",1986,2,0.339306839759434,1986.125
"03/01/86",1986,3,-0.0962952830927158,1986.20833333333
