"year","sst"
2006,5.07080037947054
2007,4.51374037839748
2008,4.44884925859946
2009,4.43539617017463
2010,5.27648780522523
2011,5.23363306345763
2012,4.39952825616907
2013,5.01597928117823
2014,5.94876354270511
2015,6.5701682832506
2016,6.86317484467118
2017,5.74200393535473
2018,5.77114389119325
2019,6.68362017914101
2020,5.79163223284262
2021,5.5284644012098
