"year","name","value"
1950,"January.June",4.49382593896654
1950,"Annual",6.50140795442793
1951,"January.June",4.39506784412596
1951,"Annual",6.77943279676967
1952,"January.June",4.41698609237318
1952,"Annual",6.55536657240656
1953,"January.June",4.93253504346918
1953,"Annual",6.97059409927439
1954,"January.June",4.68176723188824
1954,"Annual",6.97829721923228
1955,"January.June",5.02045790795927
1955,"Annual",6.71945068571303
1956,"January.June",4.79569875310968
1956,"Annual",6.74024413250111
1957,"January.June",5.22066269539021
1957,"Annual",7.67588857147429
1958,"January.June",5.87736446769149
1958,"Annual",7.42675040386341
1959,"January.June",5.62422351483946
1959,"Annual",7.34998748920582
1960,"January.June",5.1489606168535
1960,"Annual",7.00572247858401
1961,"January.June",5.31852413989879
1961,"Annual",7.02326447654653
1962,"January.June",4.81874839464823
1962,"Annual",6.91385999432317
1963,"January.June",5.20508123327185
1963,"Annual",7.33267906860069
1964,"January.June",5.08624039755927
1964,"Annual",6.80251728163825
1965,"January.June",4.17580306529999
1965,"Annual",6.38839119672775
1966,"January.June",4.59671946366628
1966,"Annual",6.52629733747906
1967,"January.June",4.98792469943011
1967,"Annual",7.1398498305568
1968,"January.June",5.08930021745187
1968,"Annual",7.08070512171145
1969,"January.June",4.45744783348507
1969,"Annual",6.83008347838013
1970,"January.June",5.39086671228762
1970,"Annual",7.11590648138965
1971,"January.June",3.98483277250219
1971,"Annual",5.79940974270856
1972,"January.June",3.53482216375845
1972,"Annual",5.77935068695634
1973,"January.June",4.44737239237185
1973,"Annual",6.28922244796046
1974,"January.June",4.53356698265782
1974,"Annual",6.93418500820796
1975,"January.June",4.31652364465925
1975,"Annual",6.23411287864049
1976,"January.June",4.42485548831798
1976,"Annual",6.56208576537945
1977,"January.June",5.57652714075866
1977,"Annual",7.55593278010686
1978,"January.June",4.89705347573316
1978,"Annual",6.82712679218363
1979,"January.June",5.36481870986797
1979,"Annual",7.53922831349903
1980,"January.June",4.95717553739195
1980,"Annual",6.76690620404703
1981,"January.June",5.77532674206628
1981,"Annual",7.69099177033813
1982,"January.June",4.67761074613642
1982,"Annual",6.47402824075134
1983,"January.June",5.79394975414983
1983,"Annual",7.70773662461175
1984,"January.June",6.01860711309645
1984,"Annual",7.98686304357317
1985,"January.June",5.09489705827501
1985,"Annual",6.81046642197503
1986,"January.June",5.01363057118875
1986,"Annual",7.12387111672649
1987,"January.June",5.76139578995881
1987,"Annual",7.50348723376239
1988,"January.June",5.50594018565284
1988,"Annual",7.31469221247567
1989,"January.June",4.97147248850928
1989,"Annual",7.18869653675291
1990,"January.June",5.12607057447787
1990,"Annual",7.10417740212546
1991,"January.June",4.83461773395538
1991,"Annual",6.93649252476516
1992,"January.June",5.10172309698882
1992,"Annual",6.939603138853
1993,"January.June",5.33938712543911
1993,"Annual",7.54427610944819
1994,"January.June",5.58143651926959
1994,"Annual",7.17114786307017
1995,"January.June",4.82353668301194
1995,"Annual",6.85464304244077
1996,"January.June",5.36021071451682
1996,"Annual",7.16670530151438
1997,"January.June",5.3047167857488
1997,"Annual",7.85232890756042
1998,"January.June",5.63936170825252
1998,"Annual",7.5643368517911
1999,"January.June",4.70309058825175
1999,"Annual",6.56518834608573
2000,"January.June",4.9866189426846
2000,"Annual",6.92639140288035
2001,"January.June",5.65498459780658
2001,"Annual",7.35805708390695
2002,"January.June",5.04564718846922
2002,"Annual",7.44142158826192
2003,"January.June",5.99097855885824
2003,"Annual",7.91685509681702
2004,"January.June",5.30688555593844
2004,"Annual",7.54590687266103
2005,"January.June",5.93176647027334
2005,"Annual",7.92572859702287
2006,"January.June",5.07080037947054
2006,"Annual",6.93064425830488
2007,"January.June",4.51374037839748
2007,"Annual",6.73497962399765
2008,"January.June",4.44884925859946
2008,"Annual",6.57075399160385
2009,"January.June",4.43539617017463
2009,"Annual",6.69724112197205
2010,"January.June",5.27648780522523
2010,"Annual",7.05468544474355
2011,"January.June",5.23363306345763
2011,"Annual",6.94535945742219
2012,"January.June",4.39952825616907
2012,"Annual",6.37329269780053
2013,"January.June",5.01597912664767
2013,"Annual",7.22186006219299
2014,"January.June",5.94912817743089
2014,"Annual",8.25698101520538
2015,"January.June",6.56944525683368
2015,"Annual",8.2043199495033
2016,"January.June",6.8636093934377
2016,"Annual",8.8258960865162
2017,"January.June",5.74219963727174
2017,"Annual",7.6998758426419
2018,"January.June",5.77107444074419
2018,"Annual",8.05866422255834
2019,"January.June",6.68350199416832
2019,"Annual",8.89595681649667
2020,"January.June",5.79139979238863
2020,"Annual",7.91220736282843
2021,"January.June",5.52702861362033
2021,"Annual",7.22014809979333
2022,"January.June",5.23674513234033
2022,"Annual",7.62341917644847
