"Survey","Haul","Latitude","Longitude","length","weight","Age","maturity_table_3","julian","year","sex.code","log.weight","sc.weight","year.class","apr.jul.wSST","nov.feb.wSST","annual.wSST","poll.SSB.2020","age.factor","prevyr_annual.wSST","cohort"
199001,51,57.70017,-155.197,340,308,4,"4",86,1990,"1",5.73009978297357,-0.892286525848137,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,51,57.70017,-155.197,360,310,4,"4",86,1990,"1",5.73657229747919,-0.875102114813306,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,51,57.70017,-155.197,360,333,4,"4",86,1990,"1",5.80814248998044,-0.685084525093592,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,51,57.70017,-155.197,370,327,4,"3",86,1990,"1",5.78996017089725,-0.733358259269201,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,51,57.70017,-155.197,370,355,4,"4",86,1990,"1",5.87211778947542,-0.51523124139006,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,51,57.70017,-155.197,370,386,4,"4",86,1990,"1",5.95583736946483,-0.292957243710687,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,54,57.89167,-154.63483,360,383,4,"4",87,1990,"1",5.94803498918065,-0.313672424763911,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,55,57.89817,-154.6445,370,389,4,"4",87,1990,"1",5.96357934361845,-0.272402439861075,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,56,57.90167,-154.62867,350,303,4,"4",87,1990,"1",5.71373280550937,-0.935740560273024,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,56,57.90167,-154.62867,350,323,4,"4",87,1990,"1",5.77765232322266,-0.766035376208958,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,56,57.90167,-154.62867,370,337,4,"4",87,1990,"1",5.82008293035236,-0.653382868015834,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,56,57.90167,-154.62867,390,413,4,"4",87,1990,"1",6.02344759296103,-0.113453301354588,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,57,58.32467,-153.17533,320,225,4,"2",88,1990,"1",5.41610040220442,-1.7259493039131,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,57,58.32467,-153.17533,340,266,4,"2",88,1990,"1",5.5834963087817,-1.28151614556712,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,57,58.32467,-153.17533,350,306,4,"2",88,1990,"1",5.72358510195238,-0.909582888232774,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,57,58.32467,-153.17533,400,465,4,"2",88,1990,"1",6.14203740558736,0.201400544541835,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,58,57.93183,-153.85333,310,206,4,"2",88,1990,"1",5.32787616878958,-1.96018307641642,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,58,57.93183,-153.85333,320,211,4,"2",88,1990,"1",5.35185813347607,-1.89651138618882,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,58,57.93183,-153.85333,330,248,4,"2",88,1990,"1",5.51342874616498,-1.46754427963607,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,58,57.93183,-153.85333,350,304,4,"2",88,1990,"1",5.71702770140622,-0.926992670197327,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,58,57.93183,-153.85333,360,302,4,"2",88,1990,"1",5.71042701737487,-0.944517369046181,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,58,57.93183,-153.85333,370,361,4,"2",88,1990,"1",5.88887795833288,-0.470733290800712,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,58,57.93183,-153.85333,400,462,4,"2",88,1990,"1",6.13556489108174,0.184216133507006,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,58,57.93183,-153.85333,410,466,4,"2",88,1990,"1",6.14418563412565,0.207104053149916,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,60,57.83033,-154.129,300,182,4,"2",89,1990,"1",5.2040066870768,-2.28905434994949,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,60,57.83033,-154.129,310,188,4,"2",89,1990,"1",5.23644196282995,-2.2029392690043,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,60,57.83033,-154.129,310,193,4,"2",89,1990,"1",5.26269018890489,-2.13325069504817,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
199001,60,57.83033,-154.129,310,194,4,"2",89,1990,"1",5.26785815906333,-2.1195298260812,1986,7.46777334478166,4.80455680953132,7.10417740212546,421,"4",7.18869653675291,"1986"
