year,R0
1976,12184
1977,14532
1978,26005
1979,13166
1980,7372
1981,7376
1982,5129
1983,6122
1984,15108
1985,4289
1986,1890
1987,4887
1988,11439
1989,8504
1990,3341
1991,2396
1992,1749
1993,1783
1994,6691
1995,3187
1996,1517
1997,1452
1998,1780
1999,6425
2000,7006
2001,1041
2002,796
2003,767
2004,1848
2005,6092
2006,5923
2007,7061
2008,3224
2009,1311
2010,5118
2011,932
2012,44193
2013,2840
2014,71
2015,10
2016,2078
2017,7727
2018,5450
2019,197
2020,10296
2021,65
