"response","model","AIC","delta_AIC"
"age 0 length","s(sst,  k=4) + s(julian, k=4) + bay_fac, random=~(1|year/day_site)",11241.4387666073,0
"age 0 length","s(sst,  k=4) + s(julian, k=4), random=~(1|year/day_site)",11313.1319375658,71.6931709585697
